city,locality,property_type,bedrooms,area_sqft,price_per_sqft,price_lakhs,floor,age_years,facing,parking,furnishing,availability,maintenance_monthly,timestamp
Mumbai,Powai,Apartment,4 BHK,1971,18028,355,12 out of 20,7,South West,Yes,Semi-Furnished,Under Construction,4505,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,3 BHK,1444,14201,205,12 out of 24,5,North East,Yes,Fully Furnished,Ready to Move,5075,2025-10-02 17:38:24
Delhi,Vasant Kunj,Apartment,4 BHK,1814,12543,227,2 out of 20,11,South East,Yes,Unfurnished,Ready to Move,4625,2025-10-02 17:38:24
Bangalore,Koramangala,Apartment,2 BHK,1003,14693,147,15 out of 22,0,South,Yes,Fully Furnished,Ready to Move,4373,2025-10-02 17:38:24
Bangalore,HSR Layout,Apartment,2 BHK,1170,15677,183,7 out of 24,3,North East,Yes,Semi-Furnished,Under Construction,5466,2025-10-02 17:38:24
Delhi,Dwarka,Apartment,2 BHK,840,11743,98,18 out of 23,4,West,No,Fully Furnished,Under Construction,4437,2025-10-02 17:38:24
Mumbai,Juhu,Apartment,1 BHK,515,12268,63,3 out of 20,15,West,Yes,Unfurnished,Ready to Move,6414,2025-10-02 17:38:24
Bangalore,HSR Layout,Apartment,4 BHK,2066,9238,190,12 out of 23,3,North West,Yes,Fully Furnished,Under Construction,5367,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,3 BHK,1691,9546,161,7 out of 24,0,North East,Yes,Semi-Furnished,Under Construction,5736,2025-10-02 17:38:24
Mumbai,Bandra,Villa,1 BHK,516,8697,44,5 out of 24,12,South East,Yes,Fully Furnished,Under Construction,5160,2025-10-02 17:38:24
Mumbai,Worli,Apartment,3 BHK,1380,11581,159,18 out of 22,4,North East,Yes,Unfurnished,Under Construction,5114,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,2 BHK,981,12547,123,17 out of 20,0,North,Yes,Fully Furnished,Under Construction,5303,2025-10-02 17:38:24
Mumbai,Powai,Apartment,5 BHK,2270,13927,316,6 out of 20,5,North West,Yes,Fully Furnished,Ready to Move,4873,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,1 BHK,461,10948,50,8 out of 22,17,West,Yes,Unfurnished,Under Construction,3917,2025-10-02 17:38:24
Delhi,Rohini,Apartment,3 BHK,1537,9722,149,3 out of 24,14,North,Yes,Fully Furnished,Under Construction,6158,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,2 BHK,1058,15555,164,1 out of 22,2,North,Yes,Fully Furnished,Under Construction,5272,2025-10-02 17:38:24
Bangalore,Whitefield,Apartment,3 BHK,1603,13293,213,4 out of 23,15,West,Yes,Semi-Furnished,Under Construction,4770,2025-10-02 17:38:24
Delhi,South Extension,Apartment,2 BHK,1172,13769,161,15 out of 22,3,South East,Yes,Fully Furnished,Ready to Move,5984,2025-10-02 17:38:24
Mumbai,Bandra,Builder Floor,3 BHK,1475,13947,205,1 out of 20,17,South West,Yes,Unfurnished,Ready to Move,4444,2025-10-02 17:38:24
Bangalore,HSR Layout,Apartment,3 BHK,1510,11671,176,17 out of 24,7,South West,Yes,Semi-Furnished,Ready to Move,2239,2025-10-02 17:38:24
Bangalore,Koramangala,Apartment,5 BHK,2485,13586,337,7 out of 22,11,East,No,Fully Furnished,Under Construction,6461,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,3 BHK,1699,11709,198,15 out of 24,3,North East,Yes,Unfurnished,Ready to Move,5439,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,2 BHK,1221,10722,130,1 out of 24,8,South,Yes,Unfurnished,Under Construction,6685,2025-10-02 17:38:24
Bangalore,JP Nagar,Villa,2 BHK,799,13001,103,3 out of 21,7,South,Yes,Semi-Furnished,Under Construction,7615,2025-10-02 17:38:24
Bangalore,Koramangala,Builder Floor,2 BHK,1064,11408,121,4 out of 24,7,South East,Yes,Fully Furnished,Under Construction,5203,2025-10-02 17:38:24
Bangalore,Koramangala,Apartment,1 BHK,397,7822,31,17 out of 23,4,South East,Yes,Fully Furnished,Under Construction,2870,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,5 BHK,2471,10581,261,10 out of 24,18,North West,Yes,Semi-Furnished,Under Construction,4266,2025-10-02 17:38:24
Bangalore,Whitefield,Builder Floor,2 BHK,1169,9480,110,18 out of 22,16,South West,Yes,Unfurnished,Under Construction,5135,2025-10-02 17:38:24
Bangalore,Koramangala,Villa,3 BHK,1599,12556,200,15 out of 23,11,South East,Yes,Semi-Furnished,Under Construction,3664,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,3 BHK,1543,11849,182,3 out of 24,3,North,No,Semi-Furnished,Ready to Move,4212,2025-10-02 17:38:24
Mumbai,Juhu,Apartment,3 BHK,1513,15138,229,7 out of 22,1,North,Yes,Unfurnished,Ready to Move,4836,2025-10-02 17:38:24
Delhi,South Extension,Apartment,4 BHK,2148,11973,257,2 out of 20,2,South East,Yes,Fully Furnished,Ready to Move,5475,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,4 BHK,1969,10733,211,1 out of 23,17,East,No,Fully Furnished,Under Construction,2064,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,3 BHK,1345,10591,142,5 out of 22,0,North East,Yes,Unfurnished,Ready to Move,5161,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,3 BHK,1606,11465,184,11 out of 24,8,South East,Yes,Unfurnished,Ready to Move,5574,2025-10-02 17:38:24
Delhi,Rohini,Apartment,3 BHK,1395,12550,175,4 out of 23,6,East,Yes,Semi-Furnished,Ready to Move,6322,2025-10-02 17:38:24
Delhi,Vasant Kunj,Villa,2 BHK,948,9059,85,18 out of 24,1,South,Yes,Fully Furnished,Ready to Move,7859,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,2 BHK,1101,13990,154,12 out of 22,16,North East,Yes,Semi-Furnished,Under Construction,4659,2025-10-02 17:38:24
Mumbai,Bandra,Builder Floor,4 BHK,2013,15293,307,13 out of 21,13,North,Yes,Fully Furnished,Under Construction,3213,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,2 BHK,1118,12836,143,11 out of 24,3,West,Yes,Semi-Furnished,Ready to Move,3523,2025-10-02 17:38:24
Bangalore,Koramangala,Apartment,4 BHK,1986,10978,218,19 out of 23,19,North West,Yes,Fully Furnished,Under Construction,5615,2025-10-02 17:38:24
Mumbai,Worli,Apartment,2 BHK,993,9674,96,2 out of 21,19,South,Yes,Unfurnished,Under Construction,4544,2025-10-02 17:38:24
Bangalore,HSR Layout,Apartment,2 BHK,988,10607,104,4 out of 22,9,South West,Yes,Fully Furnished,Under Construction,8133,2025-10-02 17:38:24
Bangalore,Koramangala,Builder Floor,3 BHK,1367,9543,130,6 out of 20,6,South West,No,Semi-Furnished,Ready to Move,5433,2025-10-02 17:38:24
Bangalore,HSR Layout,Villa,4 BHK,1957,10585,207,18 out of 22,12,North West,Yes,Fully Furnished,Ready to Move,3246,2025-10-02 17:38:24
Mumbai,Powai,Villa,4 BHK,1891,15194,287,12 out of 21,9,North East,No,Fully Furnished,Under Construction,6223,2025-10-02 17:38:24
Bangalore,HSR Layout,Apartment,1 BHK,571,9768,55,12 out of 20,6,North West,Yes,Unfurnished,Ready to Move,4338,2025-10-02 17:38:24
Delhi,Pitampura,Villa,3 BHK,1494,11715,175,11 out of 22,6,West,Yes,Semi-Furnished,Ready to Move,5942,2025-10-02 17:38:24
Delhi,Pitampura,Builder Floor,3 BHK,1597,10259,163,9 out of 20,19,South,Yes,Unfurnished,Under Construction,4185,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,3 BHK,1577,11307,178,19 out of 20,18,South,Yes,Fully Furnished,Under Construction,4526,2025-10-02 17:38:24
Delhi,Dwarka,Builder Floor,1 BHK,460,10765,49,7 out of 22,9,North East,Yes,Semi-Furnished,Ready to Move,5255,2025-10-02 17:38:24
Delhi,Vasant Kunj,Apartment,1 BHK,556,11097,61,11 out of 24,10,South,Yes,Fully Furnished,Ready to Move,6018,2025-10-02 17:38:24
Delhi,Dwarka,Builder Floor,2 BHK,1041,13200,137,11 out of 22,6,South East,Yes,Semi-Furnished,Ready to Move,4504,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,5 BHK,2554,5696,145,3 out of 21,4,West,Yes,Fully Furnished,Ready to Move,4803,2025-10-02 17:38:24
Mumbai,Worli,Apartment,3 BHK,1552,10270,159,6 out of 20,11,South West,Yes,Semi-Furnished,Ready to Move,5004,2025-10-02 17:38:24
Mumbai,Powai,Apartment,4 BHK,1928,11101,214,1 out of 24,5,South East,Yes,Fully Furnished,Ready to Move,3837,2025-10-02 17:38:24
Delhi,South Extension,Builder Floor,2 BHK,1026,11792,120,13 out of 22,7,North West,No,Fully Furnished,Ready to Move,6274,2025-10-02 17:38:24
Mumbai,Andheri,Builder Floor,3 BHK,1353,12477,168,13 out of 23,19,South East,No,Fully Furnished,Under Construction,4710,2025-10-02 17:38:24
Mumbai,Worli,Apartment,1 BHK,476,11470,54,13 out of 21,2,South West,Yes,Semi-Furnished,Under Construction,5375,2025-10-02 17:38:24
Delhi,South Extension,Builder Floor,1 BHK,487,11287,54,2 out of 24,3,North East,Yes,Unfurnished,Under Construction,5370,2025-10-02 17:38:24
Mumbai,Powai,Apartment,2 BHK,771,9412,72,8 out of 24,7,South,Yes,Semi-Furnished,Ready to Move,4740,2025-10-02 17:38:24
Mumbai,Worli,Apartment,3 BHK,1404,13240,185,3 out of 22,8,North West,Yes,Fully Furnished,Under Construction,5109,2025-10-02 17:38:24
Bangalore,Indiranagar,Builder Floor,3 BHK,1598,9873,157,3 out of 21,11,West,Yes,Unfurnished,Under Construction,5582,2025-10-02 17:38:24
Delhi,Vasant Kunj,Builder Floor,5 BHK,2455,11193,274,14 out of 20,18,South West,Yes,Semi-Furnished,Ready to Move,5433,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,2 BHK,825,11803,97,1 out of 20,4,North East,No,Semi-Furnished,Under Construction,5045,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,4 BHK,2043,10775,220,15 out of 24,14,South,Yes,Fully Furnished,Under Construction,6018,2025-10-02 17:38:24
Mumbai,Powai,Villa,3 BHK,1427,10071,143,17 out of 20,16,South,Yes,Semi-Furnished,Under Construction,4389,2025-10-02 17:38:24
Bangalore,Koramangala,Apartment,4 BHK,2076,11238,233,19 out of 24,15,South East,Yes,Fully Furnished,Under Construction,6000,2025-10-02 17:38:24
Bangalore,Koramangala,Apartment,2 BHK,1066,16173,172,17 out of 21,17,North West,Yes,Unfurnished,Under Construction,3812,2025-10-02 17:38:24
Mumbai,Powai,Apartment,3 BHK,1453,11694,169,18 out of 23,13,North,Yes,Semi-Furnished,Ready to Move,4848,2025-10-02 17:38:24
Mumbai,Bandra,Builder Floor,5 BHK,2466,14247,351,9 out of 23,1,West,No,Semi-Furnished,Under Construction,6893,2025-10-02 17:38:24
Bangalore,HSR Layout,Builder Floor,3 BHK,1519,12003,182,5 out of 23,0,South East,Yes,Unfurnished,Under Construction,6140,2025-10-02 17:38:24
Delhi,Pitampura,Builder Floor,1 BHK,373,11479,42,17 out of 20,7,West,Yes,Unfurnished,Under Construction,4833,2025-10-02 17:38:24
Bangalore,Whitefield,Apartment,4 BHK,1866,12202,227,2 out of 21,18,South,No,Semi-Furnished,Ready to Move,5328,2025-10-02 17:38:24
Delhi,South Extension,Apartment,3 BHK,1562,12687,198,8 out of 23,13,North,Yes,Semi-Furnished,Ready to Move,4302,2025-10-02 17:38:24
Mumbai,Worli,Apartment,3 BHK,1336,11486,153,2 out of 20,15,South West,Yes,Fully Furnished,Ready to Move,6016,2025-10-02 17:38:24
Mumbai,Powai,Apartment,1 BHK,352,11358,39,19 out of 22,0,North West,Yes,Unfurnished,Under Construction,4428,2025-10-02 17:38:24
Mumbai,Juhu,Villa,2 BHK,987,11953,117,16 out of 24,2,East,Yes,Unfurnished,Ready to Move,4856,2025-10-02 17:38:24
Delhi,Dwarka,Apartment,3 BHK,1534,9317,142,9 out of 22,17,North East,No,Semi-Furnished,Ready to Move,5448,2025-10-02 17:38:24
Mumbai,Worli,Builder Floor,1 BHK,583,11040,64,3 out of 21,16,West,No,Semi-Furnished,Ready to Move,5918,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,3 BHK,1520,9788,148,16 out of 23,15,North East,Yes,Fully Furnished,Under Construction,3738,2025-10-02 17:38:24
Mumbai,Worli,Builder Floor,3 BHK,1491,14054,209,13 out of 24,3,West,Yes,Unfurnished,Ready to Move,4334,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,4 BHK,2049,7654,156,2 out of 20,13,North West,No,Unfurnished,Under Construction,4151,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,3 BHK,1573,10885,171,9 out of 22,9,South West,No,Semi-Furnished,Ready to Move,3074,2025-10-02 17:38:24
Delhi,Dwarka,Apartment,1 BHK,546,13594,74,1 out of 24,5,North West,Yes,Unfurnished,Ready to Move,3424,2025-10-02 17:38:24
Delhi,Rohini,Villa,2 BHK,988,14260,140,11 out of 21,8,South,Yes,Fully Furnished,Under Construction,5821,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,2 BHK,1076,12965,139,15 out of 23,4,North East,No,Unfurnished,Under Construction,6760,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,4 BHK,2004,8759,175,14 out of 23,1,South,Yes,Semi-Furnished,Under Construction,6252,2025-10-02 17:38:24
Delhi,Pitampura,Builder Floor,4 BHK,1967,11343,223,11 out of 21,10,South East,Yes,Semi-Furnished,Under Construction,3484,2025-10-02 17:38:24
Bangalore,JP Nagar,Apartment,3 BHK,1504,7624,114,14 out of 23,2,North West,Yes,Unfurnished,Ready to Move,6533,2025-10-02 17:38:24
Bangalore,Koramangala,Apartment,3 BHK,1485,8901,132,14 out of 24,10,North West,No,Fully Furnished,Ready to Move,6309,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,3 BHK,1670,11919,199,6 out of 23,3,East,Yes,Semi-Furnished,Under Construction,6917,2025-10-02 17:38:24
Mumbai,Juhu,Builder Floor,2 BHK,1046,10456,109,4 out of 22,2,North,Yes,Unfurnished,Ready to Move,4516,2025-10-02 17:38:24
Bangalore,JP Nagar,Builder Floor,3 BHK,1481,10110,149,8 out of 21,12,South,Yes,Semi-Furnished,Under Construction,4331,2025-10-02 17:38:24
Bangalore,HSR Layout,Apartment,3 BHK,1500,12689,190,9 out of 22,1,North East,Yes,Unfurnished,Ready to Move,6391,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,5 BHK,2642,13287,351,17 out of 20,3,West,Yes,Unfurnished,Ready to Move,5108,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,3 BHK,1541,10982,169,16 out of 24,10,North East,No,Semi-Furnished,Ready to Move,4599,2025-10-02 17:38:24
Delhi,South Extension,Builder Floor,3 BHK,1389,12567,174,11 out of 22,2,West,Yes,Semi-Furnished,Ready to Move,6395,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,3 BHK,1505,14086,211,17 out of 24,4,North East,Yes,Unfurnished,Ready to Move,5148,2025-10-02 17:38:24
Mumbai,Worli,Apartment,3 BHK,1542,11661,179,5 out of 23,6,North,Yes,Fully Furnished,Under Construction,7127,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,3 BHK,1484,9726,144,19 out of 21,6,North West,Yes,Semi-Furnished,Ready to Move,6393,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,1 BHK,272,12152,33,15 out of 24,17,West,Yes,Unfurnished,Under Construction,6147,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,1 BHK,345,10371,35,5 out of 22,5,South East,Yes,Semi-Furnished,Ready to Move,4142,2025-10-02 17:38:24
Mumbai,Worli,Builder Floor,4 BHK,2106,10776,226,16 out of 22,18,South,No,Unfurnished,Ready to Move,7653,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,2 BHK,843,15495,130,18 out of 21,8,East,Yes,Semi-Furnished,Under Construction,6410,2025-10-02 17:38:24
Mumbai,Worli,Apartment,2 BHK,1023,9586,98,1 out of 21,12,North,Yes,Unfurnished,Ready to Move,3968,2025-10-02 17:38:24
Delhi,Vasant Kunj,Villa,2 BHK,901,12341,111,14 out of 23,6,South West,Yes,Fully Furnished,Ready to Move,5980,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,3 BHK,1335,12636,168,4 out of 24,11,North East,Yes,Unfurnished,Ready to Move,4321,2025-10-02 17:38:24
Bangalore,JP Nagar,Apartment,4 BHK,2052,8712,178,8 out of 24,6,North East,Yes,Unfurnished,Under Construction,3683,2025-10-02 17:38:24
Delhi,Dwarka,Apartment,2 BHK,966,11199,108,9 out of 24,6,West,Yes,Unfurnished,Under Construction,4724,2025-10-02 17:38:24
Bangalore,HSR Layout,Apartment,3 BHK,1482,14781,219,1 out of 20,1,West,Yes,Unfurnished,Under Construction,5549,2025-10-02 17:38:24
Mumbai,Bandra,Villa,3 BHK,1360,13774,187,14 out of 22,0,South East,No,Semi-Furnished,Under Construction,4881,2025-10-02 17:38:24
Delhi,Dwarka,Apartment,2 BHK,908,11586,105,9 out of 23,15,North East,Yes,Unfurnished,Ready to Move,5583,2025-10-02 17:38:24
Mumbai,Worli,Apartment,3 BHK,1421,10052,142,1 out of 24,1,North West,No,Unfurnished,Under Construction,5326,2025-10-02 17:38:24
Mumbai,Bandra,Villa,4 BHK,1925,9111,175,12 out of 23,11,North East,Yes,Fully Furnished,Under Construction,3975,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,2 BHK,1027,15640,160,18 out of 21,10,South East,Yes,Fully Furnished,Ready to Move,4789,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,1 BHK,579,11177,64,4 out of 21,18,North East,Yes,Unfurnished,Under Construction,7132,2025-10-02 17:38:24
Mumbai,Bandra,Villa,2 BHK,933,11446,106,10 out of 24,8,North West,No,Semi-Furnished,Ready to Move,4623,2025-10-02 17:38:24
Mumbai,Powai,Apartment,4 BHK,1974,15206,300,9 out of 24,6,South,Yes,Fully Furnished,Ready to Move,4292,2025-10-02 17:38:24
Delhi,Rohini,Apartment,3 BHK,1502,11009,165,15 out of 22,13,North West,Yes,Fully Furnished,Under Construction,6483,2025-10-02 17:38:24
Bangalore,Whitefield,Apartment,3 BHK,1593,14235,226,14 out of 23,6,East,Yes,Fully Furnished,Ready to Move,5108,2025-10-02 17:38:24
Mumbai,Powai,Apartment,3 BHK,1528,11121,169,1 out of 23,16,South West,Yes,Semi-Furnished,Ready to Move,5794,2025-10-02 17:38:24
Mumbai,Bandra,Builder Floor,3 BHK,1506,9078,136,4 out of 21,9,North East,Yes,Semi-Furnished,Ready to Move,5616,2025-10-02 17:38:24
Mumbai,Powai,Builder Floor,2 BHK,923,9983,92,5 out of 22,17,North,Yes,Semi-Furnished,Under Construction,6087,2025-10-02 17:38:24
Mumbai,Andheri,Villa,2 BHK,826,13039,107,1 out of 22,15,North West,No,Unfurnished,Under Construction,4141,2025-10-02 17:38:24
Delhi,South Extension,Apartment,3 BHK,1419,16176,229,18 out of 21,7,South,Yes,Semi-Furnished,Under Construction,5913,2025-10-02 17:38:24
Delhi,Dwarka,Apartment,3 BHK,1333,14263,190,18 out of 23,16,South,Yes,Unfurnished,Ready to Move,4787,2025-10-02 17:38:24
Delhi,Dwarka,Apartment,3 BHK,1495,11814,176,14 out of 20,10,South West,Yes,Fully Furnished,Ready to Move,5136,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,3 BHK,1619,9078,146,13 out of 24,10,North West,Yes,Semi-Furnished,Under Construction,6747,2025-10-02 17:38:24
Delhi,Vasant Kunj,Apartment,2 BHK,1074,14413,154,2 out of 20,8,North East,Yes,Semi-Furnished,Under Construction,5026,2025-10-02 17:38:24
Delhi,Rohini,Apartment,4 BHK,2135,10335,220,4 out of 24,17,East,Yes,Fully Furnished,Under Construction,5333,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,3 BHK,1444,10594,152,7 out of 24,3,North,Yes,Fully Furnished,Ready to Move,4746,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,1 BHK,408,10464,42,18 out of 24,13,North,No,Fully Furnished,Ready to Move,5907,2025-10-02 17:38:24
Delhi,Pitampura,Builder Floor,1 BHK,583,14694,85,4 out of 21,19,West,Yes,Semi-Furnished,Under Construction,4457,2025-10-02 17:38:24
Delhi,South Extension,Builder Floor,2 BHK,989,13716,135,8 out of 20,1,South East,Yes,Semi-Furnished,Ready to Move,3577,2025-10-02 17:38:24
Mumbai,Andheri,Builder Floor,3 BHK,1546,10212,157,1 out of 23,2,West,Yes,Unfurnished,Under Construction,6444,2025-10-02 17:38:24
Bangalore,JP Nagar,Apartment,2 BHK,960,12925,124,12 out of 20,16,West,No,Unfurnished,Under Construction,5654,2025-10-02 17:38:24
Delhi,Vasant Kunj,Apartment,3 BHK,1568,14347,224,15 out of 21,14,West,Yes,Semi-Furnished,Ready to Move,3321,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,4 BHK,1806,14134,255,17 out of 20,1,South East,No,Fully Furnished,Ready to Move,4119,2025-10-02 17:38:24
Bangalore,Koramangala,Apartment,3 BHK,1557,10359,161,3 out of 22,19,South,Yes,Semi-Furnished,Ready to Move,4983,2025-10-02 17:38:24
Delhi,South Extension,Apartment,3 BHK,1632,9841,160,16 out of 23,10,South West,Yes,Semi-Furnished,Ready to Move,4826,2025-10-02 17:38:24
Delhi,Dwarka,Builder Floor,2 BHK,1000,9141,91,15 out of 20,19,North West,No,Unfurnished,Under Construction,3960,2025-10-02 17:38:24
Delhi,Dwarka,Apartment,2 BHK,1097,11822,129,11 out of 22,9,South West,Yes,Unfurnished,Under Construction,4315,2025-10-02 17:38:24
Delhi,Vasant Kunj,Apartment,3 BHK,1428,12956,185,11 out of 22,9,South,Yes,Unfurnished,Under Construction,6441,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,3 BHK,1600,13260,212,10 out of 24,17,South East,Yes,Semi-Furnished,Ready to Move,4278,2025-10-02 17:38:24
Delhi,Dwarka,Apartment,3 BHK,1569,11170,175,17 out of 24,5,South West,Yes,Fully Furnished,Ready to Move,4605,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,3 BHK,1589,13229,210,16 out of 20,10,North,Yes,Fully Furnished,Under Construction,2569,2025-10-02 17:38:24
Delhi,Dwarka,Builder Floor,4 BHK,1920,13305,255,15 out of 23,12,East,Yes,Unfurnished,Under Construction,5346,2025-10-02 17:38:24
Mumbai,Worli,Villa,3 BHK,1663,10581,175,13 out of 24,10,East,No,Semi-Furnished,Ready to Move,4049,2025-10-02 17:38:24
Mumbai,Andheri,Builder Floor,2 BHK,1068,10204,108,8 out of 21,1,South,No,Fully Furnished,Under Construction,6105,2025-10-02 17:38:24
Mumbai,Andheri,Villa,3 BHK,1506,13565,204,10 out of 22,15,East,Yes,Fully Furnished,Under Construction,5784,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,4 BHK,2081,7906,164,5 out of 22,12,South,Yes,Semi-Furnished,Under Construction,5589,2025-10-02 17:38:24
Bangalore,HSR Layout,Apartment,3 BHK,1540,15702,241,5 out of 20,0,South East,Yes,Unfurnished,Under Construction,6532,2025-10-02 17:38:24
Delhi,Rohini,Apartment,3 BHK,1503,10761,161,16 out of 21,3,West,Yes,Semi-Furnished,Ready to Move,4878,2025-10-02 17:38:24
Delhi,South Extension,Apartment,1 BHK,521,11993,62,16 out of 23,6,West,Yes,Unfurnished,Ready to Move,4588,2025-10-02 17:38:24
Mumbai,Worli,Apartment,5 BHK,2666,10938,291,10 out of 23,9,South West,Yes,Semi-Furnished,Ready to Move,3865,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,1 BHK,477,12729,60,2 out of 24,9,South East,Yes,Fully Furnished,Under Construction,7657,2025-10-02 17:38:24
Bangalore,Koramangala,Apartment,3 BHK,1362,12954,176,7 out of 23,7,West,No,Fully Furnished,Ready to Move,4552,2025-10-02 17:38:24
Delhi,Dwarka,Builder Floor,2 BHK,1216,14513,176,14 out of 22,12,South West,Yes,Unfurnished,Under Construction,5888,2025-10-02 17:38:24
Delhi,Dwarka,Apartment,4 BHK,2170,12797,277,16 out of 23,2,North West,No,Fully Furnished,Under Construction,4368,2025-10-02 17:38:24
Delhi,South Extension,Builder Floor,3 BHK,1376,12480,171,16 out of 22,5,North,Yes,Fully Furnished,Under Construction,6558,2025-10-02 17:38:24
Mumbai,Worli,Apartment,2 BHK,1012,11834,119,4 out of 23,16,North East,No,Fully Furnished,Under Construction,4754,2025-10-02 17:38:24
Mumbai,Worli,Builder Floor,4 BHK,1958,12179,238,13 out of 22,8,North East,No,Unfurnished,Under Construction,4781,2025-10-02 17:38:24
Mumbai,Worli,Apartment,5 BHK,2423,13638,330,9 out of 23,14,North East,Yes,Fully Furnished,Under Construction,5937,2025-10-02 17:38:24
Bangalore,Whitefield,Apartment,3 BHK,1529,14241,217,12 out of 24,15,North,Yes,Unfurnished,Ready to Move,3595,2025-10-02 17:38:24
Mumbai,Juhu,Apartment,3 BHK,1499,9819,147,4 out of 20,14,South West,Yes,Unfurnished,Under Construction,5381,2025-10-02 17:38:24
Bangalore,HSR Layout,Apartment,2 BHK,943,10063,94,15 out of 21,6,South East,Yes,Unfurnished,Ready to Move,4838,2025-10-02 17:38:24
Delhi,South Extension,Apartment,2 BHK,1079,10070,108,18 out of 23,16,East,Yes,Unfurnished,Under Construction,5467,2025-10-02 17:38:24
Bangalore,HSR Layout,Apartment,3 BHK,1421,16067,228,2 out of 20,1,East,Yes,Unfurnished,Ready to Move,3967,2025-10-02 17:38:24
Bangalore,Koramangala,Apartment,2 BHK,841,9084,76,16 out of 20,0,South East,Yes,Fully Furnished,Ready to Move,4256,2025-10-02 17:38:24
Mumbai,Worli,Apartment,5 BHK,2599,9996,259,5 out of 23,4,West,No,Semi-Furnished,Ready to Move,6896,2025-10-02 17:38:24
Mumbai,Juhu,Apartment,1 BHK,645,13870,89,13 out of 23,16,North East,Yes,Unfurnished,Under Construction,5335,2025-10-02 17:38:24
Mumbai,Powai,Apartment,2 BHK,1104,12699,140,4 out of 21,17,South East,No,Fully Furnished,Under Construction,3961,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,2 BHK,967,8708,84,5 out of 21,6,South West,Yes,Unfurnished,Ready to Move,3176,2025-10-02 17:38:24
Delhi,South Extension,Apartment,4 BHK,1938,12044,233,19 out of 21,8,North East,Yes,Fully Furnished,Ready to Move,6436,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,5 BHK,2417,12995,314,14 out of 20,7,North East,Yes,Semi-Furnished,Under Construction,5024,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,3 BHK,1520,10013,152,4 out of 24,10,North,Yes,Semi-Furnished,Ready to Move,5239,2025-10-02 17:38:24
Delhi,Pitampura,Villa,3 BHK,1449,9607,139,18 out of 23,1,East,Yes,Fully Furnished,Under Construction,3284,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,2 BHK,1207,14573,175,11 out of 23,13,South,Yes,Semi-Furnished,Under Construction,4458,2025-10-02 17:38:24
Delhi,Vasant Kunj,Apartment,3 BHK,1444,10575,152,1 out of 20,2,South West,Yes,Semi-Furnished,Ready to Move,6131,2025-10-02 17:38:24
Bangalore,Whitefield,Apartment,3 BHK,1385,13924,192,3 out of 22,2,North East,Yes,Semi-Furnished,Under Construction,3449,2025-10-02 17:38:24
Delhi,Vasant Kunj,Apartment,3 BHK,1721,14594,251,1 out of 21,6,North East,Yes,Semi-Furnished,Ready to Move,4814,2025-10-02 17:38:24
Bangalore,JP Nagar,Builder Floor,3 BHK,1598,11253,179,1 out of 21,9,West,Yes,Unfurnished,Ready to Move,4815,2025-10-02 17:38:24
